Designator,Stock_Number,Part_Number,Package,Value,Function
C1,30-1200-0009-00,'TPSD107K010R0100','2917',,'CAPACITOR'
C10,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C100,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C101,30-1201-1000-00,'GRM1885C2A102JA01D','0603',,
C102,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C103,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C104,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C105,30-1202-2240-50,'GRM155R60J224KE01D','0402',,'CAPACITOR'
C106,30-1202-2240-50,'GRM155R60J224KE01D','0402',,'CAPACITOR'
C107,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C108,30-1201-1000-00,'GRM1885C2A102JA01D','0603',,
C109,30-1201-0100-01,'C3225X7T2J104K160AC','1210',,'CAPACITOR'
C11,CAP_NONPOL,'CL10B225KP8NNNC','0603',,
C110,30-1202-2240-50,'GRM155R60J224KE01D','0402',,'CAPACITOR'
C111,30-1202-2240-50,'GRM155R60J224KE01D','0402',,'CAPACITOR'
C112,30-1201-0100-01,'C3225X7T2J104K160AC','1210',,'CAPACITOR'
C113,30-1202-2240-50,'GRM155R60J224KE01D','0402',,'CAPACITOR'
C114,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C115,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C116,30-1201-0062-00,'CC0603KRX7R9BB472','0603',,
C117,30-1202-2250-50,'GRM155R60J225KE95D','0402',,'CAPACITOR'
C118,30-1201-0062-00,'CC0603KRX7R9BB472','0603',,
C119,30-1202-1020-50,'CC0402KRX5R9BB102','0402',,'CAPACITOR'
C12,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C120,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C121,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C122,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C123,30-1200-0023-00,'TAJB476K010RNJ','1411',,'CAPACITOR'
